| Сутки | Строк (наша сторона) | Сумма KGS (наша сторона) | Документов (источник) | Сумма KGS (источник) |
|---|---:|---:|---:|---:|
| `2026-05-01` | 30 | 5 278 812.30 | 4 | 5 278 812.30 |
| `2026-05-02` | 5 | 482 040.00 | 1 | 482 040.00 |
| `2026-05-03` | 94 | 7 787 857.41 | 13 | 7 787 857.43 |
| `2026-05-04` | 14 | 1 263 814.40 | 2 | 1 263 814.40 |
| `2026-05-05` | 22 | 547 358.40 | 3 | 547 358.40 |
| `2026-05-06` | 12 | 970 821.00 | 2 | 970 821.00 |
| `2026-05-07` | 119 | 1 440 326.04 | 8 | 1 342 733.69 |
| `2026-05-08` | 65 | 13 179 490.70 | 6 | 13 179 490.70 |
| `2026-05-09` | 30 | 19 252 421.78 | 4 | 17 789 624.78 |
| `2026-05-10` | 141 | 1 439 807.55 | 9 | 1 439 807.54 |
| `2026-05-11` | 65 | 1 006 862.40 | 3 | 1 006 862.40 |
| `2026-05-12` | 6 | 2 726 961.00 | 2 | 2 726 961.00 |
| `2026-05-13` | 67 | 4 500 308.30 | 11 | 4 500 308.70 |
| `2026-05-15` | 6 | 866 319.19 | 4 | 866 319.19 |
| `2026-05-17` | 15 | 700 128.00 | 2 | 700 128.00 |
| `2026-05-18` | 28 | 161 151.30 | 2 | 161 151.30 |
| `2026-05-19` | 56 | 451 545.18 | 4 | 451 545.18 |
| `2026-05-20` | 8 | 6 834 547.49 | 2 | 6 834 547.49 |
| `2026-05-23` | 51 | 2 200 096.75 | 2 | 2 200 096.80 |
| `2026-05-24` | 228 | 8 627 646.42 | 13 | 8 627 646.87 |
| `2026-05-25` | 131 | 8 414 989.08 | 15 | 8 414 989.09 |
| `2026-05-26` | 61 | 1 474 079.56 | 2 | 252 597.80 |
| `2026-05-28` | 68 | 3 013 037.28 | 7 | 3 013 037.10 |
| `2026-05-29` | 32 | 131 598.00 | 4 | 131 598.00 |
| `2026-05-30` | 6 | 586 710.00 | 1 | 586 710.00 |
| `2026-05-31` | 3 | 184 266.00 | 1 | 1 335 896.51 |
| **итого** | **1363** | **93 522 995.53** | **127** | **91 892 755.66** |

разность (наша − источник): 1 630 239.87 KGS
