day,dow,rev,ma7,ratio,win_days
2025-10-05,1,1417.0,1055644.89,0.0013,7
2026-01-24,7,980.99,673002.17,0.0015,7
2026-03-01,1,2438.4,1094964.4,0.0022,5
2025-07-26,7,2335.25,503343.8,0.0046,7
2026-08-01,7,25920.9,4780221.57,0.0054,7
2025-08-23,7,1112.0,168867.67,0.0066,7
2025-12-21,1,9216.0,1142993.77,0.0081,6
2026-02-21,7,18126.4,2107560.2,0.0086,7
2025-08-09,7,4272.24,335910.04,0.0127,7
2025-10-26,1,7584.35,594526.33,0.0128,7
2026-07-25,7,65385.5,3533379.92,0.0185,7
2026-03-21,7,42791.36,1787358.45,0.0239,6
2026-02-08,1,33690.96,1374097.54,0.0245,4
2025-12-13,7,19160.14,655269.01,0.0292,6
2026-07-05,1,139264.4,4720918.8,0.0295,7
2026-04-25,7,146889.44,4689793.38,0.0313,7
2025-11-02,1,21326.05,605394.31,0.0352,6
2026-06-21,1,121725.0,2956622.64,0.0412,7
2026-04-11,7,81212.47,1688245.39,0.0481,7
2025-05-10,7,11250.0,230856.19,0.0487,7
2025-08-31,1,31097.2,638764.44,0.0487,6
2026-05-31,1,184266.0,3708010.06,0.0497,6
2025-08-03,1,28470.88,521689.69,0.0546,6
2025-11-09,1,15297.8,241753.77,0.0633,7
2026-07-26,1,219891.19,3292339.99,0.0668,7
2026-01-18,1,65840.2,872893.06,0.0754,7
2025-12-20,7,90257.39,1131144.23,0.0798,6
2026-03-08,1,130637.5,1588776.75,0.0822,7
2026-04-19,1,451584.9,5146198.61,0.0878,7
2025-09-07,1,76364.65,833109.64,0.0917,7
2026-03-22,1,166769.17,1763929.48,0.0945,6
2025-10-11,7,28817.79,298157.69,0.0967,6
2026-03-14,7,183365.2,1837449.09,0.0998,7
2025-06-14,7,49436.96,490164.07,0.1009,5
2025-10-25,7,67797.4,657708.68,0.1031,7
2025-10-19,1,155684.62,1392888.27,0.1118,6
2025-06-28,7,55294.63,477142.92,0.1159,7
2025-09-21,1,48007.52,381556.26,0.1258,7
2026-05-30,7,586710.0,3976907.85,0.1475,6
2026-03-28,7,1036866.51,6579652.7,0.1576,7
2025-09-20,7,70094.4,390637.94,0.1794,7
2025-08-30,7,112847.43,620141.87,0.182,6
2026-03-15,1,221132.08,1118021.22,0.1978,7
2025-06-15,1,84463.6,416709.55,0.2027,6
2026-04-12,1,238168.5,1148789.67,0.2073,7
2026-07-11,7,666569.65,3205403.07,0.208,6
2026-05-10,1,1439807.55,6348869.96,0.2268,7
2026-01-11,1,408610.55,1717512.72,0.2379,6
2025-11-29,7,381070.06,1548788.34,0.246,6
2025-11-01,7,145997.2,592361.01,0.2465,6
2026-02-15,1,37402.0,136355.13,0.2743,6
2026-05-02,7,482040.0,1708004.77,0.2822,7
2026-06-13,7,1764342.0,6198273.48,0.2847,6
2026-07-12,1,871582.64,3015683.84,0.289,6
2026-06-07,1,1065500.1,3303404.1,0.3225,6
2026-06-20,7,996029.96,3066381.51,0.3248,7
2025-12-07,1,234574.52,714408.92,0.3283,6
2026-05-17,1,700128.0,2108051.69,0.3321,5
2026-04-26,1,846901.8,2535918.09,0.334,7
2025-12-27,7,56297.83,167917.01,0.3353,6
2026-07-04,7,1804885.0,5206924.43,0.3466,6
2025-05-31,7,297282.29,797085.44,0.373,7
2025-06-29,1,177992.31,461504.4,0.3857,7
2025-10-18,7,510073.8,1312678.94,0.3886,6
2026-03-29,1,2680672.6,6721663.43,0.3988,7
2025-09-13,7,133666.2,324421.64,0.412,7
2025-07-05,7,294618.42,699839.12,0.421,7
2025-05-03,7,43473.75,99391.22,0.4374,2
2025-06-21,7,164764.26,348183.16,0.4732,7
2025-11-30,1,741578.84,1559269.08,0.4756,6
2025-08-02,7,234727.49,482957.65,0.486,6
2025-09-14,1,137598.8,271866.1,0.5061,7
2025-05-17,7,250068.15,456552.63,0.5477,7
2026-04-05,1,2126306.82,3879438.51,0.5481,7
2025-07-12,7,219868.46,376465.77,0.584,7
2025-11-16,1,287433.0,480963.1,0.5976,7
2025-09-06,7,501555.02,777579.98,0.645,7
2025-08-16,7,195087.33,291311.36,0.6697,6
2025-07-20,1,358286.0,516177.99,0.6941,7
2025-11-15,7,331265.84,472967.83,0.7004,7
2026-07-19,1,1333806.0,1745401.34,0.7642,7
2025-08-17,1,262738.2,323113.88,0.8131,6
2025-07-06,1,608180.93,734028.23,0.8286,7
2025-07-19,7,420707.55,487486.69,0.863,7
2026-02-22,1,1810528.8,2091425.57,0.8657,7
2025-06-08,1,226532.26,257138.33,0.881,4
2026-02-14,7,131068.8,137412.4,0.9538,5
2025-10-04,7,965157.69,963471.35,1.0018,7
2026-01-10,7,1756585.51,1709698.16,1.0274,5
2026-06-14,1,6230274.72,5834829.94,1.0678,6
2026-06-28,1,1226168.6,1139109.21,1.0764,4
2026-05-23,7,2200096.75,2036842.99,1.0802,4
2026-07-18,7,1752665.0,1590244.86,1.1021,7
2026-04-04,7,3857402.53,3476504.79,1.1096,7
2025-11-22,7,318185.59,274394.36,1.1596,7
2025-05-25,1,1363559.34,1174218.21,1.1612,6
2025-11-08,7,275298.94,223282.09,1.233,7
2025-09-27,7,319942.95,256431.18,1.2477,7
2025-05-24,7,1266060.9,1004886.08,1.2599,6
2025-06-22,1,464065.38,364658.48,1.2726,7
2025-09-28,1,410532.89,292123.83,1.4053,7
2026-06-06,7,3945003.22,2743688.56,1.4378,6
2026-01-17,7,1474259.92,913225.29,1.6143,7
2025-05-11,1,574339.54,226252.79,2.5385,7
2025-07-13,1,990115.81,365787.2,2.7068,7
2026-05-24,1,8627646.42,2069493.74,4.169,5
2026-05-03,1,7787857.41,1755883.43,4.4353,7
2025-12-06,7,2125781.81,423623.63,5.0181,6
