day,dow,kind,rev,ma7,ratio,thr,no_rows,verdict
2026-06-18,5,weekday,2421993.15,5506405.75,0.4399,0.1,false,PASS
2026-06-19,6,weekday,2091362.56,3694937.22,0.566,0.1,false,PASS
2026-06-20,7,weekend,996029.96,3066381.51,0.3248,0.03,false,PASS
2026-06-21,1,weekend,121725.0,2956622.64,0.0412,0.03,false,PASS
2026-06-22,2,weekday,1120176.0,2083972.68,0.5375,0.1,false,PASS
2026-06-23,3,weekday,0.0,1685879.48,0.0,0.1,true,FAIL
2026-06-24,4,weekday,2459425.52,1214628.68,2.0248,0.1,false,PASS
2026-06-25,5,weekday,855110.3,1535118.7,0.557,0.1,false,PASS
2026-06-26,6,weekday,0.0,1273971.56,0.0,0.1,true,FAIL
2026-06-27,7,weekend,0.0,1110493.36,0.0,0.03,true,FAIL
2026-06-28,1,weekend,1226168.6,1139109.21,1.0764,0.03,false,PASS
2026-06-29,2,weekday,4243590.19,1415220.11,2.9985,0.1,false,PASS
2026-06-30,3,weekday,5163272.35,2196073.65,2.3511,0.1,false,PASS
2026-07-01,4,weekday,6984597.81,2789513.39,2.5039,0.1,false,PASS
2026-07-02,5,weekday,4774233.55,3694547.85,1.2922,0.1,false,PASS
2026-07-03,6,weekday,8849684.11,4478372.5,1.9761,0.1,false,PASS
2026-07-04,7,weekend,1804885.0,5206924.43,0.3466,0.03,false,PASS
2026-07-05,1,weekend,139264.4,4720918.8,0.0295,0.03,false,FAIL
2026-07-06,2,weekday,0.0,4565646.77,0.0,0.1,true,FAIL
2026-07-07,3,weekday,3397483.64,4619322.87,0.7355,0.1,false,PASS
2026-07-08,4,weekday,3625325.3,4325024.75,0.8382,0.1,false,PASS
2026-07-09,5,weekday,7093644.32,3765146.0,1.884,0.1,false,PASS
2026-07-10,6,weekday,3171815.73,4151714.46,0.764,0.1,false,PASS
2026-07-11,7,weekend,666569.65,3205403.07,0.208,0.03,false,PASS
2026-07-12,1,weekend,871582.64,3015683.84,0.289,0.03,false,PASS
2026-07-13,2,weekday,5540046.2,3137736.88,1.7656,0.1,false,PASS
2026-07-14,3,weekday,1663004.1,3480923.93,0.4777,0.1,false,PASS
2026-07-15,4,weekday,1082641.91,3233141.13,0.3349,0.1,false,PASS
2026-07-16,5,weekday,778896.31,2869900.65,0.2714,0.1,false,PASS
2026-07-17,6,weekday,528973.2,1967793.79,0.2688,0.1,false,PASS
2026-07-18,7,weekend,1752665.0,1590244.86,1.1021,0.03,false,PASS
2026-07-19,1,weekend,1333806.0,1745401.34,0.7642,0.03,false,PASS
2026-07-20,2,weekday,5640699.43,1811433.24,3.1139,0.1,false,PASS
2026-07-21,3,weekday,2444597.47,1825812.28,1.3389,0.1,false,PASS
2026-07-22,4,weekday,6589879.36,1937468.47,3.4013,0.1,false,PASS
2026-07-23,5,weekday,1699377.9,2724216.68,0.6238,0.1,false,PASS
2026-07-24,6,weekday,5272634.27,2855714.05,1.8463,0.1,false,PASS
2026-07-25,7,weekend,65385.5,3533379.92,0.0185,0.03,false,FAIL
2026-07-26,1,weekend,219891.19,3292339.99,0.0668,0.03,false,PASS
2026-07-27,2,weekday,5411554.34,3133209.3,1.7272,0.1,false,PASS
2026-07-28,3,weekday,3545902.67,3100474.29,1.1437,0.1,false,PASS
2026-07-29,4,weekday,1.770740012E7,3257803.61,5.4354,0.1,false,PASS
2026-07-30,5,weekday,5592234.0,4846020.86,1.154,0.1,false,PASS
2026-07-31,6,weekday,919183.18,5402143.16,0.1702,0.1,false,PASS
2026-08-01,7,weekend,25920.9,4780221.57,0.0054,0.03,false,FAIL
