day,dow,rev,ma7,ratio
2025-06-07,7,0.0,265167.12,0.0
2026-05-16,7,0.0,4965446.7,0.0
2026-06-27,7,0.0,1110493.36,0.0
2025-07-27,1,0.0,443576.33,0.0
2026-02-01,1,0.0,2289333.17,0.0
2025-08-10,1,0.0,302987.86,0.0
2025-10-12,1,0.0,142101.04,0.0
2025-11-23,1,0.0,272525.75,0.0
2025-06-01,1,0.0,658688.49,0.0
2026-01-03,7,0.0,706011.82,0.0
2025-12-14,1,0.0,304165.4,0.0
2026-02-07,7,0.0,1374097.54,0.0
2026-02-28,7,0.0,915491.4,0.0
2026-01-04,1,0.0,868440.32,0.0
2025-05-18,1,0.0,490669.51,0.0
2026-01-31,7,0.0,1907941.14,0.0
2025-10-05,1,1417.0,1055644.89,0.00134
2026-01-24,7,980.99,673002.17,0.00146
2026-03-01,1,2438.4,1094964.4,0.00223
2025-07-26,7,2335.25,503343.8,0.00464
2026-08-01,7,25920.9,4780221.57,0.00542
2025-08-23,7,1112.0,168867.67,0.00659
2025-12-21,1,9216.0,1142993.77,0.00806
2026-02-21,7,18126.4,2107560.2,0.0086
2025-08-09,7,4272.24,335910.04,0.01272
2025-10-26,1,7584.35,594526.33,0.01276
2026-07-25,7,65385.5,3533379.92,0.01851
2026-03-21,7,42791.36,1787358.45,0.02394
2026-02-08,1,33690.96,1374097.54,0.02452
2025-12-13,7,19160.14,655269.01,0.02924
2026-07-05,1,139264.4,4720918.8,0.0295
