doc_date,row_count,sum_kgs
2026-06-05,3,4929603.31
2026-06-06,2,739004.4
2026-06-08,16,1876200.01
2026-06-10,3,1891022.28
2026-06-11,17,1.138574742E7
2026-06-12,72,2.88562013E7
2026-06-14,2,1516688.26
2026-06-15,7,1249982.92
2026-06-16,9,3786052.92
2026-06-17,1,81446.03
2026-06-18,24,9437038.91
2026-06-19,35,2.443275454E7
2026-06-23,1,96849.96
2026-06-24,10,3495604.7
2026-06-25,1,33162.6
2026-06-26,14,3249160.6
2026-06-29,1,452166.3
2026-07-01,31,1.161717067E7
2026-07-03,3,988895.31
2026-07-08,23,1.134028818E7
2026-07-09,1,118080.0
2026-07-10,16,8562068.82
2026-07-14,1,168714.0
2026-07-15,25,5803388.14
2026-07-17,44,2.168545292E7
2026-07-21,1,621043.2
2026-07-22,4,1091046.37
2026-07-23,1,174912.53
2026-07-24,46,1.18302834E7
2026-07-27,3,4019418.0
2026-07-29,34,1.421544823E7
2026-07-30,2,160686.34
2026-07-31,9,3276846.3
2026-08-01,25,1.026590058E7
