doc_date,row_count
2026-06-05,3
2026-06-06,2
2026-06-07,0
2026-06-08,16
2026-06-09,0
2026-06-10,3
2026-06-11,17
2026-06-12,72
2026-06-13,0
2026-06-14,2
2026-06-15,7
2026-06-16,9
2026-06-17,1
2026-06-18,24
2026-06-19,35
2026-06-20,0
2026-06-21,0
2026-06-22,0
2026-06-23,1
2026-06-24,10
2026-06-25,1
2026-06-26,14
2026-06-27,0
2026-06-28,0
2026-06-29,1
2026-06-30,0
2026-07-01,31
2026-07-02,0
2026-07-03,3
2026-07-04,0
2026-07-05,0
2026-07-06,0
2026-07-07,0
2026-07-08,23
2026-07-09,1
2026-07-10,16
2026-07-11,0
2026-07-12,0
2026-07-13,0
2026-07-14,1
2026-07-15,25
2026-07-16,0
2026-07-17,44
2026-07-18,0
2026-07-19,0
2026-07-20,0
2026-07-21,1
2026-07-22,4
2026-07-23,1
2026-07-24,46
2026-07-25,0
2026-07-26,0
2026-07-27,3
2026-07-28,0
2026-07-29,34
2026-07-30,2
2026-07-31,9
2026-08-01,25
2026-08-02,0
2026-08-03,0
