сутки           core.revenue_kgs   Sigma demand.sum конв.          разность
2026-05-01            5278812.30               5278812.30              0.00
2026-05-02             482040.00                482040.00              0.00
2026-05-03            7787857.41               7787857.43             -0.02
2026-05-04            1263814.40               1263814.40              0.00
2026-05-05             547358.40                547358.40             -0.00
2026-05-06             970821.00                970821.00              0.00
2026-05-07            1440326.04               1342733.69          97592.35
2026-05-08           13179490.70              13179490.70              0.01
2026-05-09           19252421.78              17789624.78        1462797.00
2026-05-10            1439807.55               1439807.54              0.01
2026-05-11            1006862.40               1006862.40              0.00
2026-05-12            2726961.00               2726961.00              0.00
2026-05-13            4500308.30               4500308.70             -0.40
2026-05-15             866319.19                866319.19              0.00
2026-05-17             700128.00                700128.00              0.00
2026-05-18             161151.30                161151.30              0.00
2026-05-19             451545.18                451545.18              0.00
2026-05-20            6834547.49               6834547.49              0.00
2026-05-23            2200096.75               2200096.80             -0.04
2026-05-24            8627646.42               8627646.87             -0.45
2026-05-25            8414989.08               8414989.09             -0.01
2026-05-26            1474079.56                252597.80        1221481.75
2026-05-28            3013037.28               3013037.10              0.18
2026-05-29             131598.00                131598.00              0.00
2026-05-30             586710.00                586710.00              0.00
2026-05-31             184266.00               1335896.51       -1151630.51
ИТОГО                93522995.53              91892755.66        1630239.87

Целевая разность (Q-98, ADR-097): 1630239.87

сутки, дающие >=90% от целевой разности (по |разность|, накопительно):
сутки              разность         накоп.    накоп. % от target
2026-05-09       1462797.00     1462797.00                 89.73
2026-05-26       1221481.75     2684278.75                164.66
