файл       роль             задача                             обменов    выход       всего    мин
d1fa73c3   архитектор       -                                      250   458833    82717152 1066.2
a8429d8d   сборка           PARITY-STOCK-INTRANSIT-CLOSE           217   485724    77373076 1848.6
1aafe061   -                -                                      248   424504    76253027  143.3
cf329fad   архитектор       -                                      283   539665    73488444  226.9
ccf0767f   архитектор       -                                      273   440816    70694264   91.4
1119ab51   исполнитель      -                                      232   192802    58262487  175.1
34bbc3c0   архитектор       -                                      234   331249    51606854  769.4
f469d8f6   сборка           -                                      185   355041    48920640  120.7
2c28c308   сборка           -                                      180   143607    46032689   21.3
160880a4   сборка           -                                      161   262172    39954044   74.5
d4067fd9   сборка           -                                      147   339308    38989464  101.4
25d066a2   архитектор       -                                      159   280346    32958474   37.8
f03d8158   исполнитель      -                                      160   225427    32870373 1365.4
3fc5a40a   архитектор       -                                      129   218973    31986877  264.2
89a99ab3   исполнитель      INVOICES-LOADER-DESIGN                 130   206875    28811912   94.9
06620f73   сборка           -                                      158   232510    28462760   48.3
b2017ca0   сборка           -                                      105   136243    27333738   29.3
cf3f6ac9   сборка           -                                      102   148184    27029071   63.6
3c511694   исполнитель      -                                      153   149519    26021803   91.7
1ebabcc6   сборка           -                                      111   100755    25585031   19.2
e6099d31   сборка           -                                      109   160157    23989854   27.5
e51e9308   сборка           -                                      106    75918    23870670   12.8
b2b96b88   сборка           -                                      106    93282    21951355   43.1
c8453cd9   сборка           -                                      124   110945    21801366   25.0
717cf43d   сборка           -                                      111   293209    21795190   42.0
cc019140   сборка           -                                       94   111641    21394385   17.5
7523210d   сборка           -                                      124   110104    21084573  155.5
4e5cdb3e   сборка           -                                      119    63255    20677513   11.9
b8c6cb63   сборка           -                                       81   102189    20518883   11.3
1ac4e309   сборка           -                                       97    77438    20336919   10.5
f97f2432   сборка           -                                      106   110169    20144660   98.3
1f2c42fd   сборка           -                                      102    89298    19381873   41.4
8ed503f0   сборка           -                                       96    74032    19189086   14.1
b00b6e7b   -                -                                      110    75867    19179115  113.3
2b63ca48   сборка           -                                      123    75206    19068963   36.3
cf7d2d70   сборка           -                                       94    84285    18948091   10.4
3c702e91   сборка           -                                      118   101476    18777319   17.3
34c8b401   сборка           -                                       86    89065    18072526   16.5
faf8d32b   сборка           -                                       85    80410    16695392   15.6
230e4b1d   сборка           -                                       88   120314    15584115   24.9
07d279d3   сборка           -                                       86   159356    15569010  217.7
c5cedffc   исполнитель      -                                      107    61004    15281446   80.4
20549f7b   сборка           -                                       94    58020    14479407   15.2
bf98bd99   сборка           -                                       75    67909    13840398   11.2
74d634cd   сборка           -                                      103    68231    13492153   30.4
29b4e3e5   сборка           -                                       71    43962    13228405    8.5
0379d271   сборка           -                                       77    38777    13147748    6.0
b7ad56e4   сборка           -                                       74    66538    12903618   10.9
ec2200a4   сборка           -                                       82    54774    12818287   51.4
af56b44d   сборка           -                                       78    56255    12338945   13.8
4d6b8d99   сборка           -                                       75    46228    12153292   10.0
72c0f761   сборка           -                                       74    64179    11681394   24.9
c4d015a0   сборка           -                                      102    58293    11546011   10.7
95c1218a   сборка           -                                      103    57994    11014009   17.3
5ccb4696   сборка           -                                       72    88681    10735965   18.8
39d176f4   сборка           -                                       60    89318    10510940  852.9
5e4e79a4   исполнитель      -                                       67    65306    10291103   71.9
550223cd   сборка           -                                       64    48834    10009043   17.1
9c93b110   сборка           -                                       67    26607     9666941    6.7
9c2e2c72   сборка           -                                       63    31011     9414242    6.4
bdc4812d   сборка           -                                       59   158424     8955575   43.3
9ce3de14   сборка           -                                       76    43515     8691174    5.7
07ab26a2   сборка           -                                       64    49779     8551617   17.9
5ad47338   сборка           -                                       82    39083     8417788  593.1
d152a945   сборка           -                                       57    34979     8273837    5.0
47765448   сборка           -                                       62    30303     7741144  631.8
cf3eee8a   сборка           -                                       50    24750     6897581   53.8
1aad5d9a   сборка           -                                       73    41913     6715164 1078.4
61876599   сборка           -                                       51    45577     6491221    6.6
8ac808de   архитектор       -                                       48   129962     5923328   33.1
f2c7efd1   сборка           -                                       47    16663     5817007    7.5
c1be24c1   сборка           -                                       46    19237     5627107    6.0
93c5b02c   сборка           -                                       43    94444     5450116   26.9
51cc030c   архитектор       -                                       50    59746     5246516    8.4
515d9bdc   -                -                                       43    34715     5016680   14.9
2e71cff6   сборка           -                                       48    31605     4999542    5.1
84b26e80   -                -                                       50    66003     4733989    6.9
1cab9db0   сборка           -                                       40    24438     4718477   12.8
a28c4e3c   архитектор       -                                       47    32310     4244379    9.0
f70ff56f   архитектор       -                                       43    50015     4174555   13.0
3e3325aa   сборка           -                                       46    15730     3942490    5.3
15df53fe   -                -                                       34    25310     3672837    9.5
1baaec84   сборка           -                                       26    23389     2911128    5.1
827acd6e   сборка           -                                       32    16734     2432629   31.0
c8c3af24   сборка           -                                       22    14558     1560219   15.4
95808cac   сборка           -                                       12     6229      832992   13.4
bc10e350   сборка           -                                       14     5618      788291    0.6
d4caee45   сборка           -                                       11     4596      670270    3.5
27a6f0d0   сборка           -                                       10     4793      619188   13.1
2a4a0618   сборка           -                                        8     3712      487287   30.1
942f2c0a   сборка           -                                        2      256      115784    0.3
ead05fe0   -                -                                        1        0           0      -

=== агрегаты по ролям ===
сборка           сессий= 70  медиана всего= 12903618  медиана выхода=  66538
архитектор       сессий= 10  медиана всего= 32958474  медиана выхода= 280346
не опознана      сессий=  6  медиана всего=  5016680  медиана выхода=  66003
исполнитель      сессий=  6  медиана всего= 28811912  медиана выхода= 192802

сырые агрегаты: reference/_scratch_PIPELINE-MODE-OBSERVATION_2026-08-05/sessions_metrics.json
