group          date       missing_rows  distinct_demands_in_archive total_positions_in_archive
G1_marketplace 2026-05-12            2                            0                          0
G2_0603        2026-06-03            2                            1                         13
G3_0604        2026-06-04            1                            1                         17
G4_0615        2026-06-15            1                            1                          6
G5_0702        2026-07-02            1                            1                         48
G6_0711        2026-07-11            1                            1                          1
G7_0713        2026-07-13            6                            1                         10
G8_0720        2026-07-20            1                            1                         33
G9_0721        2026-07-21            8                            0                          0
G10_0727a      2026-07-27            1                            1                         11
G11_0727b      2026-07-27            1                            1                         11
G12_0729       2026-07-29            1                            1                         18
G13_0730       2026-07-30            3                            4                         45
